frame,seq,event,label,id,value,score
875,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,20
876,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,20
876,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,20
880,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,20
893,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,20
894,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,20
894,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,20
897,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,20
899,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,20
900,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,20
900,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,20
903,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,20
919,0,CONTACT_BEGIN,sling-reactive:9,9,0,20
919,1,CONTACT_BEGIN,sling-corner:9,9,0,20
920,0,CONTACT_END,sling-corner:9,9,0,20
920,1,CONTACT_END,sling-reactive:9,9,0,20
920,2,HIT,sling-reactive:9,9,0,20
931,0,CONTACT_BEGIN,left-wall,0,0,20
932,0,CONTACT_END,left-wall,0,0,20
959,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,20
960,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,20
960,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,20
964,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,20
971,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,20
972,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,20
972,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,20
976,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,20
984,0,CONTACT_BEGIN,sling-reactive:5,5,0,20
985,0,CONTACT_END,sling-reactive:5,5,0,20
985,1,HIT,sling-reactive:5,5,5,25
989,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,25
990,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,25
990,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,25
993,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,25
994,0,CONTACT_BEGIN,obstacle:8,8,0,25
995,0,CONTACT_END,obstacle:8,8,0,25
995,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,25
996,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,25
996,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,25
999,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,25
1016,0,CONTACT_BEGIN,flipper-right:pivot,0,0,25
1016,1,CONTACT_BEGIN,flipper-right:poly,0,0,25
1017,0,CONTACT_END,flipper-right:pivot,0,0,25
1017,1,CONTACT_END,flipper-right:poly,0,0,25
1048,0,CONTACT_BEGIN,flipper-right:poly,0,0,25
1049,0,CONTACT_END,flipper-right:poly,0,0,25
1055,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,25
1056,0,CONTACT_BEGIN,flipper-right:poly,0,0,25
1056,1,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,25
1056,2,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,25
1060,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,25
1065,0,CONTACT_END,flipper-right:poly,0,0,25
1067,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,25
1068,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,25
1069,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,25
1070,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,25
1071,0,CONTACT_BEGIN,sling-reactive:4,4,0,25
1072,0,CONTACT_END,sling-reactive:4,4,0,25
1072,1,HIT,sling-reactive:4,4,5,30
1085,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,30
1086,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,30
1086,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,30
1089,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,30
1089,1,CONTACT_BEGIN,obstacle:7,7,0,30
1090,0,CONTACT_END,obstacle:7,7,0,30
1091,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,30
1092,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,30
1092,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,30
1095,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,30
