frame,t,ball,x,y,vx,vy,leftAngle,leftOmega,rightAngle,rightOmega,score,plunged,down
170,2.850000143,1,0.520970166,0.684294879,0.625701189,-0.959935486,-0.678735375,0.000000000,-0.789212525,11.264160156,0,1,0
171,2.866666794,1,0.531398475,0.667963862,0.625701189,-0.979861081,-0.678492963,0.000000000,-0.571704268,13.157640457,0,1,0
172,2.883333445,1,0.541826844,0.651300788,0.625701189,-0.999786675,-0.678430021,-0.000000000,-0.338672251,14.114070892,0,1,0
173,2.900000095,1,0.552255154,0.634305596,0.625701189,-1.019712210,-0.678413332,-0.000000000,-0.097911358,14.591609001,0,1,0
174,2.916666746,1,0.562683463,0.616978288,0.625701189,-1.039637804,-0.678409040,0.000000000,0.146676227,14.828408241,0,1,0
175,2.933333397,1,0.573111832,0.599318862,0.625701189,-1.059563398,-0.678407967,0.000000000,0.393022656,14.937322617,0,1,0
176,2.950000048,1,0.583540142,0.581327379,0.625701189,-1.079488993,-0.678407848,0.000000000,0.639919877,14.971435547,0,1,0
177,2.966666937,1,0.593968511,0.563003838,0.625701189,-1.099414587,-0.678407848,0.000000000,0.886576653,14.956540108,0,1,0
178,2.983333588,1,0.604396820,0.544348121,0.625701189,-1.119340181,-0.678407848,-0.000000000,0.749537587,0.000000000,0,1,0
179,3.000000238,1,0.614825130,0.525360405,0.625701189,-1.139265776,-0.678407848,0.000000000,0.696938396,-0.000000000,0,1,0
180,3.016666889,1,0.625253499,0.506040514,0.625701189,-1.159191370,-0.284793288,24.282512665,0.683235288,0.000000000,0,1,0
181,3.033333540,1,0.635681808,0.486388594,0.625701189,-1.179116964,0.275392860,35.682994843,0.679665446,0.000000000,0,1,0
182,3.050000191,1,0.643333554,0.474654824,-0.032984499,0.795821965,0.889458001,39.665325165,0.678735077,-0.000000000,0,1,0
183,3.066666842,1,0.632529020,0.494063139,-0.648273528,1.164499998,1.677504897,51.856082916,0.678492844,0.000000000,5,1,0
184,3.083333492,1,0.621724486,0.513139367,-0.648273528,1.144574404,1.418629408,-0.000000000,0.678430021,0.000000000,5,1,0
185,3.100000143,1,0.610919893,0.531883538,-0.648273528,1.124648809,1.319058180,0.000000000,0.678413630,-0.000000000,5,1,0
186,3.116666794,1,0.600115359,0.550295591,-0.648273528,1.104723215,1.009675503,-7.406807899,0.284799039,-24.282508850,5,1,0
187,3.133333445,1,0.589310765,0.568375528,-0.648273528,1.084797621,0.826173782,-11.079418182,-0.275386900,-35.682994843,5,1,0
188,3.150000095,1,0.578506231,0.586123407,-0.648273528,1.064872026,0.610004187,-13.075320244,-0.889452457,-39.665325165,5,1,0
189,3.166666746,1,0.567701697,0.603539169,-0.648273528,1.044946432,0.377693176,-14.069569588,-1.677496672,-51.856067657,5,1,0
190,3.183333397,1,0.556897104,0.620622873,-0.648273528,1.025020838,0.137326375,-14.567245483,-1.418622732,-0.000000000,5,1,0
